"FirstName","LastName","MemberNumber","CarNumber","Car","Class","Best","Best Indexed","ClassRank","IndexRank","OverallRank","Rookie","Run 1","Run 1 Pen","Run 2","Run 2 Pen","Run 3","Run 3 Pen","Run 4","Run 4 Pen","Run 5","Run 5 Pen","Run 6","Run 6 Pen","Run 7","Run 7 Pen","Run 8","Run 8 Pen","Run 9","Run 9 Pen"
"Colin","Sargent","","580","2002 Honda S2000","XA","36.289","30.627","10","50","23","","39.042","","38.126","","37.234","","37.267","","36.673","","36.289","","42.575","6","36.274","2"
"Michael","Waich","","527","1989 Honda Civic Si","P-STS","36.296","29.617","8","24","24","","37.623","","37.151","","36.689","","36.518","","37.47","1","37.38","","36.296","","36.62",""
"Jake","Rogers","","25","1999 Mazda Miata","P-ES","36.347","28.786","2","4","25","","37.03","","37.872","","36.676","","36.347","","36.835","","38.319","","36.752","","36.72",""
"Patrick","Malzahn","","745","2017 Honda Civic Type-R","Z-DS","36.383","29.470","4","18","26","","38.995","DNF","36.74","","36.741","","36.747","","37.158","1","36.63","1","36.383","","36.701","1"
"Nicholas","Bedell","","62","2013 Scion Frs","P-SSC","36.405","29.306","6","15","27","","36.673","","36.912","1","36.405","","37.359","","36.458","","36.747","","42.255","","36.563",""
"Josh","Howard","","610","2015 Ford Mustang","CAMC","36.490","30.140","1","37","28","","37.818","","37.086","","36.872","","36.68","","37.043","","36.49","","36.796","","36.605",""
"Alan","Millard","","40","2003 Toyota MR-2 Spyder","ES","36.523","28.926","2","7","29","","37.066","","36.565","","36.836","","37.017","","36.974","","36.742","","36.995","","36.523",""
"Peter","Nolden","","726","2020 Mazda MX-5 Club","CS","36.550","29.715","2","27","30","","38.143","","37.147","","36.945","","36.612","","37.047","","36.911","","36.55","","36.896",""
"Jon","Stef","","805","2011 Subaru WRX","STH","36.568","29.693","1","26","31","","37.344","2","37.854","","37.21","","36.929","","38.168","DNF","36.87","","36.568","","36.836",""
"Jess","Meyer","","28","1980 Porsche 911","SS","36.595","30.556","1","48","32","","37.811","","36.869","1","36.877","","37.049","","37.148","","36.595","","37.428","","36.928",""
"Miguel","Torres","","770","2021 Chevrolet Chevrolet","SS","36.596","30.557","2","49","33","","42.693","","38.419","DNF","38.146","","38.209","","37.178","","37.097","DNF","37.151","","36.596",""
"Adam","Quimby","","26","2011 Mazda Mazdaspeed3","Z-STH","36.665","29.771","5","28","34","","38.272","","37.149","","37.283","","37.524","","37.202","","36.806","","41.476","","36.665",""
"Lyndrell","Novotny","","430","2018 Chevrolet Camaro","CAMC","36.678","30.296","2","42","35","","37.222","","36.832","","37.243","","36.678","","37.337","","36.695","","36.766","","36.985",""
"Jacob","Witt","522450","78","1992 Mazda Miata","P-STS","36.769","30.003","9","34","36","","37.899","","37.488","","36.854","","37.574","","36.769","","37.672","1","36.803","","36.809",""
"Thomas","Braun","","159","2004 Mazda Mazdaspeed Miata","Consolidated-STU","36.841","30.688","3","52","37","","39.377","DNF","37.907","","37.095","","36.901","","38.24","1","36.907","","36.932","","36.841",""
"Dustin","Peterson","","65","2000 Chevrolet Camaro","CAMT","36.858","30.223","1","40","38","","38.463","","38.029","","37.637","","37.51","","37.317","","36.979","","36.858",""
"Blake","Wilson","","789","2020 Mazda MX-5 RF GT","CS","36.880","29.983","3","32","39","","37.761","","37.93","","37.043","1","38.096","","36.88","","37.303","","37.318","","37.16",""
"Koun","Phah Moua","","37","2017 Volkswagen GTI","STH","36.935","29.991","2","33","40","","38.23","","37.766","","37.713","","36.935","","37.224","1","37.12","","38.027","","38.003",""
"Lucas","Reller","","71","1999 Mazda Miata","ES","36.947","29.262","3","12","41","","38.793","","37.99","","37.303","","36.997","","36.947","","37.072","","38.736","","36.989",""
"Chris","Medower","","113","2005 Mazda Miata","P-STS","36.973","30.169","10","39","42","","38.633","DNF","39.631","DNF","37.584","","37.342","","37.261","","36.973","","37.576","","37.382",""
"Kyler","Quimby","","126","2011 Mazda Mazdaspeed3","STH","36.980","30.027","3","35","43","","43.125","DNF","37.916","","38.018","","37.578","","38.098","","38.241","1","36.98","","37.136",""
"Kevin","Berndt","","828","2018 Volkswagen GTI","P-GS","36.981","29.436","7","17","44","","37.86","1","37.915","","37.886","","36.981","","37.156","","100.902","RERUN","37.647","","37.594","","37.363",""
"Terry","Schuster","","165","2003 Nissan 350z","XA","36.986","31.216","11","63","45","","38.188","DNF","37.97","","37.494","","36.986","","37.624","","37.747","","37.658","","37.407",""
"Cody","Smith","","736","1985 Oldsmobile Cutlass","CAMT","37.074","30.400","2","44","46","","38.538","","37.074","","37.233","","36.918","1","37.417","","112.48","RERUN","37.187","","37.227","","37.138",""
"Anthony","Wolfe","227","227","2002 Chevrolet Corvette Zo6","CAMS","37.079","31.442","3","66","47","","39.008","","37.773","","37.459","","37.079","","37.976","","37.156","","38.586","DNF","37.865",""
"Kurt","Kloss","","719","2008 Infiniti M45x","XA","37.144","31.349","12","65","48","","38.882","DNF","45.73","1","37.762","DNF","38.903","DNF","37.983","","37.144","","37.833","1","37.449",""
"Max","Grant","","749","1990 Chevrolet Corvette","CAMS","37.234","31.574","4","70","49","","39.373","","38.381","","37.641","","37.648","1","37.859","","37.739","1","37.391","","37.234",""
"Jashua","Rodriguez","","93","1990 Mazda Miata","P-STS","37.268","30.410","11","45","50","","37.654","","37.268","","38.529","1","37.39","","36.874","1","37.84","","37.585","","37.498",""
"Dwight","Anderson","","843","2019 Ford Fiesta ST","Z-HS","37.305","29.321","3","16","51","","39.538","1","38.723","","37.899","","37.305",""
"Emilio","Rescigno","","17","1999 Mazda Miata","ES","37.319","29.556","4","21","52","","38.058","","37.762","1","37.319","","43.235","1","37.374","","37.349","","37.583","","37.6",""
"Jason","Grant","","748","1990 Chevrolet Corvette","CAMS","37.348","31.671","5","71","53","","37.846","","37.348","","38.815","","38.209","","38.046","","38.335","","37.573","","38.848",""
"Anthony","Onceler","","74","2017 Chevrolet Camaro","CAMC","37.373","30.870","3","57","54","","39.475","","37.783","1","37.689","","37.199","1","37.431","1","38.204","","37.373","","37.405","1"
"Daniel","Personius","","500"," BMW 318ti","XA","37.386","31.553","13","68","55","","42.658","RERUN","38.739","","38.407","","38.475","","37.741","","37.518","","37.559","1","37.738","2","37.386",""
"Ian","Schmitz","","47","2012 Mazda Mazdaspeed 3","STH","37.420","30.385","4","43","56","","37.68","","37.42","","38.156","","37.631","","38.176","","38.061","","37.721","","37.768",""
"Rick","Sellner","","427","2016 Chevrolet corvette z07","SS","37.468","31.285","3","64","57","","39.935","","39.257","","37.468","","37.662",""
"Pheng","Her","","525","2023 Subaru BRZ Grey","N","37.516","37.516","1","100","58","","38.898","","39.061","","38.293","","38.222","","38.703","","37.857","","37.666","","37.516",""
"Peter","Hsu","","8","2019 Honda Type R","Z-DS","37.571","30.432","7","46","59","","38.324","","38.242","1","37.571","","38.133","","37.775","","37.647","","37.921",""
"Randy","Cameron","","302","2012 Ford Mustang Boss 302","CAMC","37.586","31.046","4","62","60","","39.515","","38.592","","38.542","","39.168","","38.085","","38.669","","38.302","","37.586",""
"Eric","Janssen","","320","2013 Honda Civic SI","HS","37.609","29.560","1","22","61","","38.239","","38.068","","38.118","","37.93","1","37.845","1","37.892","1","37.457","1","37.609",""
"Harold","Kachelmyer","","948","2014 Ford Mustang RS","XA","37.792","31.896","14","74","62","","39.383","1","38.204","1","39.107","","38.658","1","38.302","","38.169","","38.125","","37.792",""
"Mikaila","Conway","","140","2003 Toyota MR2","ES","37.798","29.936","5","31","63","","42.457","1","38.908","1","39.122","1","38.366","","38.969","","37.798","","38.127","","38.082",""
"Jeremy","Poissant","","70","1970 Chevrolet Camaro","CAMT","37.834","31.023","3","61","64","","39.667","","38.978","","37.834","","41.704","DNF","38.597","","42.075","DNF","39.816","","39.003",""
"Tanner","Gruba","","87","1990 Mazda Miata","Z-STS","37.852","30.887","8","58","65","","40.921","","39.349","","39.013","","38.918","1","38.764","","39.451","","38.865","","37.852",""
"Ron","Schwanz","","48","1990 Mazda Miata","P-STS","37.867","30.899","12","59","66","","38.329","","37.965","","37.867","","38.014","","38.67","","39.863","","38.147","","37.888",""
"Eric","Romani","","718","2023 Honda Civic SI","Z-GS","37.894","30.163","6","38","67","","41.411","DNF","39.444","","38.871","","38.967","","40.768","","38.114","","38.929","","37.894",""
"Will","Schafer","","24","2019 Fiat 124 Spider Abarth","CS","37.927","30.834","4","55","68","","39.947","","39.381","DNF","38.856","","38.671","","38.41","","38.671","","38.117","","37.927",""
"Carter","Smith","","701","1990 Nissan 300zx","XA","38.012","32.082","15","79","69","","40.883","","38.707","1","38.434","","38.012","","38.708","","39.2","","38.251","","38.557","2"
"Kim","John  Crumb","","282","2021 Porsche Cayman GTS","Consolidated-SSP","38.064","32.620","9","84","70","","40.941","","40.51","","39.272","","39.327","","39.603","","39.264","","38.783","","38.064",""
"Matt","Haase","","161","2013 Scion FR-S","Consolidated-DS","38.085","30.848","4","56","71","","38.797","","39.389","","38.321","","38.652","","38.573","","38.085","","38.285","","38.278","1"
"Brandon","Rowlett","","406","2016 Mazda MX-5","Consolidated-STR","38.106","31.704","5","73","72","","39.85","","38.462","","38.106","","38.308","","39.161","","39.068","","44.176","RERUN","38.154","","38.568","1"
"Bryce","Allen","","982","2019 Porsche Cayman S","Z-AS","38.201","31.477","9","67","73","","43.257","","39.937","DNF","39.994","DNF","38.865","","39.363","","38.201","","38.382","","38.58",""
"Scott","Allen","","304","2019 Ford Fiesta ST","Consolidated-XB","38.289","32.507","8","82","74","","39.129","","39.065","","38.345","","38.289","","37.782","1","38.479","","38.64","","38.814",""
"Courtney","Sampson","","315","2015 Dodge Challenger hellcat","CAMC","38.739","31.998","5","76","75","","39.832","","39.174","","39.028","","39.116","","39.557","","39.154","","39.418","","38.739",""
"Jon","Pierce-Ruhland","","262","1993 Mazda Miata","ES","38.749","30.689","6","53","76","","40.262","","38.749","","39.518","","40.138","","39.57","","39.165","","39.54","","39.128",""
"Giuseppe","Pellizzer","","80","1999 Mazda 10AE Miata","ES","38.779","30.712","7","54","77","","39.248","1","39.624","","39.216","","39.585","","38.779","","39.972","","50.29","","39.341",""
"Justin","Armstrong","","312","2008 Chevrolet Corvette Z06","Consolidated-AS","38.837","32.001","6","77","78","","46.709","DNF","41.247","","40.334","","40.268","","39.121","","38.837","","38.965","1","38.823","1"
"Ryan","Krym","577","577","2015 Volkswagen GTI S","XA","38.854","32.792","16","85","79","","39.595","","38.854","","39.343","","38.893","","39.083","","39.818","","40.798","1","39.244",""
"Lucas","Firkins","","30","2000 Mazda Mx-5 Miata","N","38.871","38.871","2","101","80","","40.357","DNF","41.118","","40.265","","39.932","","39.513","","39.36","","39.313","","38.871",""
"Curt","Crouse","","29","2003 Mercury Marauder","CAMC","39.175","32.358","6","81","81","","42.45","","40.527","","40.071","","39.487","","39.175","","40.135","","39.611","","40.161","1"
"Rixin","Zhao","","233","2024 Acura Integra","N","39.412","39.412","3","102","82","","41.159","2","40.017","1","39.412","","39.705","","41.261","2","41.112","2","40.238","","39.127","1"
"Ted","Hough","","968","2022 Hyundai Elantra N-Line","HS","39.429","30.991","2","60","83","","40.752","","40.805","","40.197","","39.729","","40.375","","39.429","","39.661","","39.825","1"
"Heidi","Halverson","","10","2005 Lotus Elise","Consolidated-SSP","39.543","33.888","11","88","84","","41.009","","41.275","","42.833","DNF","41.69","","40.775","","115.1","RERUN","41.109","","40.396","","39.543",""
"Daye","Stager","","996","2022 Toyota GR86","Consolidated-DS","39.611","32.084","7","80","85","","42.615","","42.089","DNF","45.211","DNF","40.617","","39.995","","39.646","","39.611","","39.876",""
"Grant","Gapinski","","400","1997 Mazda Miata","ES","39.845","31.557","8","69","86","","41.501","","41.131","","41.324","","47.879","","41.12","","39.845","","40.279","","40.385",""
"Philip","Ethier","","7","2011 Porsche Cayman 2.9","X","39.845","39.845","2","103","87","","51.802","DNF","47.568","","41.179","DNF","42.54","","41.091","","39.845","","39.83","DNF","39.944","1"
"Brandon","Stachewicz","","95","1995 Dodge Neon ACR","Consolidated-EP","39.918","34.249","12","92","88","","42.956","DNF","40.371","","40.104","","39.918","","40.51","","40.277","","40.396","","40.295",""
"Mark","McLean","","815","2007 Nissan 350Z Convertible","N","39.942","39.942","4","104","89","","42.305","","45.93","DNF","40.841","","41.5","","41.969","","39.942","","49.604","DNF","40.647",""
"Steve","Church","","292","1993 Mazda Miata","ES","40.002","31.681","9","72","90","","42.844","2","42.266","","41.029","","41.03","","40.943","","40.002","","40.157","","40.149",""
"Karl","Svedberg","","144","1968 Chevrolet Corvette 327 ci, 4sp man","Consolidated-XP","40.054","35.527","14","97","91","","58.072","DNF","59.438","","44.648","","45.161","","40.904","","40.054","","41.036","","54.367","5"
"Joseph","Anderson","","492","2015 Dodge charger","CAMC","40.155","33.168","7","86","92","","40.695","","41.266","","41.709","","40.927","","41.15","","40.368","","40.155","","40.405",""
"Gary","Schmidt","","737","2023 Acura Integra","Z-GS","40.196","31.996","10","75","93","","46.05","DNF","43.33","","42.253","","40.372","","40.987","","40.196","","41.132","","41.537",""
"Amanda","Romani","","623","2023 Honda Civic SI","Z-GS","40.245","32.035","11","78","94","","40.68","1","41.085","","40.245","","39.469","1","41.296","DNF","40.809","1","42.53","2","40.216","1"
"Ryan","Denzer","","575","2003 Mitsubishi Lancer Evolution","XA","40.357","34.061","17","90","95","","40.357","","40.823","","40.317","3","40.051","1","41.376","2","45.271","","41.221","","42.231","1"
"Douglas","Lindman","","242","1986 Mazda Rx-15","XA","40.383","34.083","18","91","96","","46.262","DNF","44.01","","42.32","","40.965","","40.772","","40.598","","40.383","","40.612",""
"Tim","Krueger","","808","2024 Tesla Model 3 Performance","N","40.477","40.477","5","105","97","","40.756","DNF","40.758","DNF","46.747","","41.944","","41.084","","40.665","","40.661","","40.477",""
"Don","Gettinger","","4","2001 Chevrolet Z-06 Corvette","Consolidated-AS","40.586","33.442","10","87","98","","44.215","","42.399","","41.916","","41.075","","42.313","","40.586","","46.096","","42.015",""
"Anthony","Decker","","774","2005 Mazda Miata","N","40.730","40.730","6","106","99","","41.488","DNF","40.953","DNF","40.616","DNF","41.553","","40.786","DNF","41.039","","41.086","","40.73",""
"Ben","Allen","","255","2006 Mazda MX-5 Miata ","N","41.172","41.172","7","107","100","","43.114","","42.249","","42.644","","41.817","","41.26","","41.484","","41.172","","41.807",""
"Robert","Sorensen","","100","2014 Ford Mustang","N","41.193","41.193","8","108","101","","51.364","","44.641","","57.378","DNF","43.644","DNF","43.523","","41.978","","41.231","","41.193",""
"Jonathan","Decker","","477","2001 Mazda Miata SE","N","41.337","41.337","9","109","102","","43.59","","41.18","1","41.378","1","41.337","","41.825","","41.583","1","41.384","","43.266",""
"Erik","Ernst","","747","2012 Honda Fit","HS","41.463","32.589","3","83","103","","46.666","","43.408","","43.148","","42.75","","42.619","","42.503","","41.673","","41.463",""
"Todd","Larson","","145","2004 Mazda Mazdaspeed Miata","N","41.570","41.570","10","110","104","","45.042","","44.455","","43.797","","42.819","","43.3","","41.771","","43.876","","41.57",""
"Steve","Truax","","347"," Ford Ranchero","N","41.864","41.864","11","111","105","","46.365","DNF","44.687","","46.755","DNF","44.706","","44.02","","43.604","","42.717","","41.864",""
"Thomas","Haider","","104","2022 Ford Shelby GT 500","CAMC","41.932","34.635","8","93","106","","42.886","","41.932","","43.404","","42.55","","42.009","1","45.851","","42.551","","43.347","1"
"Matt","Moskalik","","420","2013 Scion FRS","Consolidated-STX","42.671","34.947","13","94","107","","47.028","","45.522","","45.365","","45.262","","43.966","","42.736","","42.777","","42.671",""
"Ed","Wildeman","","200","1999 BMW M Roadster","Z-CS","43.057","35.005","12","96","108","","45.525","DNF","44.332","DNF","44.248","","43.695","","43.465","","43.989","2","43.488","","43.057",""
"Christina","Anderson","","469","2018 Dodge Charger SRT","CAMC","43.558","35.978","9","99","109","","46.312","","45.344","","43.999","","43.558","","43.992","","45.299","1","44.335","","43.826",""
"Ari","Pouchak","","612","2008 Mazda 6i","HS","44.491","34.969","4","95","110","","47.87","DNF","56.138","","47.064","","45.052","","45.789","","45.324","","44.826","1","46.045","RERUN 1","44.491",""
"Christopher","Stromme","","54","2013 Honda Civic","X","44.700","44.700","3","112","111","","46.692","","45.805","","44.7","","44.877","","45.845","","46.123","","44.91","","45.512",""
"Marcus","Ernst","","474","2009 Honda Fit","HS","45.725","35.939","5","98","112","","45.993","","46.402","","47.161","","46.37","","45.725","","46.604","","46.893","","46.069",""
"Ruby","Levanduski","","272","2013 Honda Fit","N","50.879","50.879","12","113","113","","69.89","","56.775","","53.876","","54.332","","52.479","","50.879","","51.007","","51.133",""
"Gary","Armstrong","","123","1978 Triumph Spitfire","N","56.891","56.891","13","114","114","","67.964","","59.974","","59.854","","57.985","","56.891","","141.036",""
"Denise","Hites","","699","2008 Lexus ISF Blue","STS","-","-","-","-","-",""
"John","Mensch","","58","1988 Honda CRX RED","INVALID:P","-","-","-","-","-",""
"Steve","Meschke","","31","1990 Mazda Miata red","INVALID:Z","-","-","-","-","-",""
"Alira","Moreau","","600","2008 Honda S2000 CR ","STR","-","-","-","-","-",""
"James","Mccarthy","","220","2016 Mazda Miata ND White","CS","-","-","-","-","-",""
"Dan","Nielsen","411","411","1988 Chevrolet corvette white","XP","-","-","-","-","-",""
"Gavyn","Gill","","223","2019 Mazda Miata Red","STR","-","-","-","-","-",""
"Steve","Garnjobst","","75","1998 Ford Mustang GT Black","INVALID:P","-","-","-","-","-",""
"Max","Currie","","788","1980 Porsche 911sc Red","XB","-","-","-","-","-",""
"Nicholas","Albee","","323","2007 Mazda MX-5 Copper Red Mica","CS","-","-","-","-","-",""
"Nikolai","A Gybin","","757","2023 Toyota GR86 ","N","-","-","-","-","-",""
"Alex","Summers","","60","2010 Volkswagen GTI Grey","SM","-","-","-","-","-",""
"Clay","McCarthy","","222","1995 Chevrolet Camaro Blue","INVALID:CAM-T","-","-","-","-","-",""
"Alex","Noordergraaf","","202","2016 Mazda Miata White","CS","-","-","-","-","-",""
"Tim","Malzahn","","475","2017 Honda Civic Type-R Black","INVALID:Z","-","-","-","-","-",""
"Cory","Smith","","777","2004 Mazda RX-8 ","STX","-","-","-","-","-",""
"Jessica","Kloss","","724","2008 Infiniti M45x Tan/gold","N","-","-","-","-","-",""
"Tianna","nelson Tianna nelson","","767","2014 Dodge Charger Autumnfireburgo","INVALID:CAM-C","-","-","-","-","-",""
"Skye","Gill","","224","2011 Honda CRZ Black","STS","-","-","-","-","-",""
