"FirstName","LastName","MemberNumber","CarNumber","Car","Class","Best","Best Indexed","ClassRank","IndexRank","OverallRank","Rookie","Run 1","Run 1 Pen","Run 2","Run 2 Pen","Run 3","Run 3 Pen","Run 4","Run 4 Pen","Run 5","Run 5 Pen","Run 6","Run 6 Pen","Run 7","Run 7 Pen","Run 8","Run 8 Pen"
"Tyler","Horn","","244","2023 Subaru BRZ","Trackcross E","69.124","69.124","14","49","49","","74.321","","71.401","","69.422","","69.124","","70.212","","69.842","","70.185",""
"Steve","Algren","","144","2009 Chevrolet Corvette","Trackcross C","69.170","69.170","15","50","50","","77.938","","73.822","","71.429","","70.979","","71.025","","69.923","","69.17",""
"Ben","Allen","","255","2006 Mazda MX-5 Miata","Trackcross F","69.483","69.483","7","51","51","","75.949","","71.955","","70.086","","70.117","","71.173","","69.483","","71.074",""
"Chase","Malkow","","358","2005 Nissan 350z","Trackcross D","69.934","69.934","10","52","52","","71.04","","69.934","","158.828","","70.808","","70.181","","70.474",""
"Ryan","Huntley","","666","2017 Volkswagen GTI","Trackcross E","70.068","70.068","15","53","53","","77.467","","71.156","","70.712","","71.285","","70.068","","70.738","","70.107",""
"James","Nikolov","","157","2013 Dodge Viper","Trackcross B","70.390","70.390","6","54","54","","80.777","","76.882","","74.696","","70.39","","74.173","","71.756","","70.546",""
"Bret","Otzenberger","","95","1998 Chevrolet Corvette","Trackcross C","70.393","70.393","16","55","55","","77.662","","71.48","","77.741","","73.804","","79.737","","73.733","","70.393",""
"Thomas","Haider","","104","2022 Ford Shelby GT 500","Trackcross B","70.507","70.507","7","56","56","","76.323","","73.709","","70.507","","71.048","","70.757","","69.621","DNF","74.498","DNF"
"James","Mccarthy","","220","2016 Mazda Miata ND","Trackcross G","70.666","70.666","2","57","57","","75.971","","73.381","","72.942","","71.399","","72.35","","71.616","","70.666",""
"Dennis","Omeara","","112","2019 Honda Vette","Trackcross C","70.974","70.974","17","58","58","","80.506","","75.852","","74.725","","71.151","","71.056","","70.974","","71.743",""
"Anthony","Manschula","","716","2019 Volkswagen GTI","Trackcross E","71.322","71.322","16","59","59","","78.085","","73.909","","72.645","","72.639","","71.754","","72.431","","71.322",""
"Kevin","Gam","","837","2012 Infiniti G37XS","Trackcross E","71.515","71.515","17","60","60","","75.275","","72.054","","71.515","","89.943","","75.521","","76.616","","75.469",""
"Oliver","Moore","","37","2004 Mini Cooper MC40 S","Trackcross E","71.628","71.628","18","61","61","","77.692","","73.969","","73.148","","72.021","","73.399","","72.472","","71.628",""
"Randall","Johnson","630","630","2015 Ford Fiesta ST","Trackcross F","72.262","72.262","8","62","62","","73.477","","73.533","","72.262","","73.635","","74.033","","72.875","","72.743",""
"Varun","Sarathy","","210","2020 Hyundai Veloster N","Trackcross E","72.865","72.865","19","63","63","","77.123","","75.18","","74.952","","75.587","","73.257","","72.865","","73.52",""
"Darin","Phlork","","264","2017 Honda Civic Si","Trackcross F","73.510","73.510","9","64","64","","82.195","","80.055","","80.131","","78.048","","76.604","","73.729","","73.51",""
"Ed","Wildeman","","200","1999 BMW M Roadster","Trackcross F","73.596","73.596","10","65","65","","75.499","","76.404","","77.057","","75.331","","73.596","","75.957","","75.226",""
"Michael","MacDonald","","440","2005 Mini Cooper S","Trackcross E","73.980","73.980","20","66","66","","86.262","","81.559","","81.583","","78.343","","73.98","","75.742","","76.005","DNF"
"Brandon","Rowlett","","406","1991 Toyota MR2","Trackcross F","74.152","74.152","11","67","67","","80.063","","75.825","","75.226","","74.551","","75.384","","74.152","","74.824",""
"Steve","Church","","292","2005 Honda Civic","Trackcross G","74.797","74.797","3","68","68","","77.417","","76.55","","76.943","","75.889","","75.877","","74.797","","75.276",""
"Alex","Clement","","105","2015 Ford Fiesta ST","Trackcross F","75.620","75.620","12","69","69","","84.173","","82.156","","78.945","","78.362","","76.746","","76.131","","75.62",""
"Kyle","Greenseth","","145","2015 Dodge Dodge","Trackcross C","76.811","76.811","18","70","70","","76.811","","84.103",""
"Christopher","Stromme","","54","2013 Saab Civic ","Trackcross G","77.108","77.108","4","71","71","","81.063","","79.311","","79.401","","77.848","","77.108","","79.266","","77.799",""
"Patrick","Olheiser","","299","2004 Chevrolet corvette","Trackcross C","77.109","77.109","19","72","72","","78.138","","77.109","","78.237","","78.888","","80.741","","77.71","","77.528",""
"Salamong","Xiong","","21","1995 Acura Integra RS White","INVALID:","-","-","-","-","-",""
"Jesse","Boyle","","961"," Ford Mustang","Trackcross C","-","-","-","-","-",""
"Gopihath","Ramchand","","","   ","INVALID:","-","-","-","-","-",""
"Mitchell","Robinson","","undefined","undefined undefined undefined undefined","INVALID:undefined","-","-","-","-","-",""
"Michael","Starosta","","undefined","undefined undefined undefined undefined","INVALID:undefined","-","-","-","-","-",""
"simon","robins","","undefined","undefined undefined undefined undefined","INVALID:undefined","-","-","-","-","-",""
"Peter","Nolden","","726","2020 Mazda MX-5 Club","Trackcross F","-","-","-","-","-",""
