"FirstName","LastName","MemberNumber","CarNumber","Car","Class","Best","Best Indexed","ClassRank","IndexRank","OverallRank","Rookie","Run 1","Run 1 Pen","Run 2","Run 2 Pen","Run 3","Run 3 Pen","Run 4","Run 4 Pen","Run 5","Run 5 Pen","Run 6","Run 6 Pen","Run 7","Run 7 Pen","Run 8","Run 8 Pen"
"Emilio","Rescigno","","716","1999 Mazda Miata","Z-ES","38.592","30.564","8","25","42","","39.122","","38.816","1","39.33","","41.322","2","38.899","","38.567","1","38.592",""
"Chader","Burton","","797","1999 Honda Civic ex","C2-EP","38.719","33.143","5","62","43","","40.554","","40.58","1","39.991","1","39.669","","39.127","","38.719","","39.168","2"
"Blake","Doblinger","","621","1995 Mazda Miata","XB","38.848","32.943","2","57","44","","40.334","","40.874","","40.17","","39.418","","39.345","","38.848","","39.111",""
"Chase","Malkow","","358","2005 Nissan 350z","C2-STU","38.908","32.293","2","50","45","","40.39","DNF","39.009","","38.983","","41.268","","38.908","","37.806","1","38.115","1"
"Dwight","Anderson","","843","2019 Ford Fiesta ST","Z-HS","38.975","30.634","9","27","46","","40.581","","40.357","","39.237","1","39.966","","39.06","","39.762","","38.975",""
"Rick","Sellner","","427","2016 Chevrolet corvette z07","C1-SS","39.040","32.520","1","54","47","","41.956","","39.264","","38.909","1","40.771","","39.04",""
"Hunter","Ahmann","","914","2012 Subaru Impreza WRX","STH","39.049","31.707","2","40","48","","62.677","","43.485","","41.624","","42.941","","38.573","DNF","40.352","","39.049",""
"Brent","Lucio","","537","1996 Mazda Miata","Z-ES","39.128","30.989","13","33","49","","41.924","1","41.108","","39.538","","40.351","1","39.718","","39.356","","39.128",""
"Lucas","Reller","","71","1999 Mazda Miata","Z-ES","39.173","31.025","14","34","50","","42.297","","38.908","1","39.081","1","39.36","1","40.596","","38.643","1","39.173",""
"Blake","Wilson","","789","2020 Mazda MX-5","CS","39.262","31.841","1","42","51","","42.18","","40.466","","40.19","","39.767","","39.262","","39.371","","39.296",""
"WILLIAM","ST. CLAIR","","635","2013 Nissan R35 GTR","C2-XS","39.363","33.497","6","66","52","","83.14","RERUN","39.363","","38.708","2","48.184",""
"Ian","Schmitz","","497","2012 Mazda Mazdaspeed 3","STH","39.544","32.109","3","45","53","","40.911","","41.096","1","39.544","","41.043","1","40.184","","40.614","1","39.839",""
"Gavyn","Gill","","223","2019 Mazda Miata","STR","39.654","32.952","1","58","54","","42.183","","41.374","","39.649","1","46.743","","40.315","","40.235","","39.654",""
"Andrew","Dehmer","","186","2017 Subaru BRZ Limited","Z-DS","39.664","32.048","18","43","55","","42.623","","41.213","","40.812","","40.777","","40.092","","39.901","","39.664",""
"Dustin","Peterson","","65","2000 Chevrolet Camaro","C2-CAMT","39.687","32.503","3","53","56","","44.217","","41.147","","39.687","","71.173","","41.12","","39.901","","39.711",""
"Harold","Kachelmyer","","948","1984 Porsche 944","XA","39.750","33.469","8","65","57","","42.623","","41.694","","39.823","","40.574","1","39.75","","39.866","","74.578","RERUN","39.825","1"
"Clay","McCarthy","","222","2016 Mazda MX5","CS","39.778","32.259","2","49","58","","42.109","","40.729","","40.575","","41.082","","39.994","","39.393","1","39.778",""
"Heidi","Halverson","","10","2005 Lotus Elise","Z-SSR","39.829","33.695","20","69","59","","41.316","","40.113","","40.23","1","42.064","","40.106","","46.763","DNF","39.829",""
"Giuseppe","Pellizzer","","81","1999 Mazda 10AE Miata","Z-ES","39.888","31.591","16","38","60","","42.986","","41.949","1","42.182","","41.25","","40.618","","40.362","","39.888",""
"Jon","Pierce-Ruhland","","262","1993 Mazda Miata","Z-ES","39.997","31.677","17","39","61","","41.249","","40.174","","40.395","","40.64","1","40.634","","40.603","","39.997",""
"Trevor","Rowe","","501","2018 Ford Mustang GT","CAMC","39.997","33.077","2","60","62","","43.678","","41.572","1","41.928","","42.752","1","41.314","","39.997","","40.051","DNF"
"Justin","Hirschuber","112","217","2007 Chevrolet C6 Base","CAMS","40.008","33.806","2","72","63","","75.656","2","43.812","","40.008","","64.289","1","40.911","2","40.768","","38.451","1"
"Will","Schafer","","24","2019 Fiat 124 Spider Abarth","CS","40.037","32.470","3","51","64","","44.254","","49.852","","40.618","","42.2","","40.037","","41.433","DNF","39.942","1"
"Anthony","Onceler","","74","2017 Chevrolet Camaro","CAMC","40.113","33.173","3","63","65","","44.32","","44.91","","41.401","","41.322","","41.16","","41.084","","40.113",""
"Gabriel","Anderson","","930","1986 Porsche Carrera","C2-SSM","40.126","35.270","7","80","66","","46.264","","48.621","2","43.564","","40.706","","41.246","","40.202","2","40.126",""
"Don","Gettinger","","4","2001 Chevrolet Z-06 Corvette","AS","40.172","33.061","1","59","67","","44.77","","42.775","","42.116","","40.834","","40.648","","40.359","","40.172",""
"Ethan","Khuhro","","696","2021 Tesla Model 3 Long Range","P-EVX","40.217","33.460","17","64","68","","43.736","1","42.801","","40.217","","40.625","3","41.327","","41.819","DNF","41.585",""
"Tyson","Kuchenmeister","650","650","2010 Pontiac Vibe","N","40.377","40.377","1","91","69","","43.9","1","43.095","","41.684","","42.094","","41.122","","40.306","1","40.377",""
"Josh","Svoboda","776","776","2017 Ford Mustang Shelby GT350","C1-FS","40.497","32.924","2","56","70","","46.06","","41.398","","42.034","","41.873","","40.497","","39.799","1","40.712","1"
"Mikaila","Conway","","140","2003 Toyota MR2","P-ES","40.497","32.073","15","44","71","","40.497","","39.78","3","39.89","1","40.5","4","40.292","1","38.913","1","49.544","DNF"
