"FirstName","LastName","MemberNumber","CarNumber","Car","Class","Best","Best Indexed","ClassRank","IndexRank","OverallRank","Rookie","Run 1","Run 1 Pen","Run 2","Run 2 Pen","Run 3","Run 3 Pen","Run 4","Run 4 Pen","Run 5","Run 5 Pen","Run 6","Run 6 Pen","Run 7","Run 7 Pen","Run 8","Run 8 Pen","Run 9","Run 9 Pen"
"Mitch","Giese","","963","1989 Chevrolet Camaro","CAMT","35.233","28.750","3","48","54","","38.541","","38.235","","36.213","","35.542","","36.292","","36.267","","35.233","","35.639",""
"John","Moravec","","5","1999 Mazda Miata","Z-ES","35.259","27.925","10","35","55","","37.402","","36.336","","35.675","","35.747","","35.794","","35.641","","35.449","","35.259",""
"Joe","Slag","","171","2015 Ford Fiesta ST","Z-HS","35.359","27.792","7","31","56","","36.075","","35.704","","35.86","","42.683","","35.359","","35.62","","35.882","","35.839",""
"Matthew","Thao","","503","2019 Honda Civic si","N","35.615","35.615","1","90","57","","45.089","","36.173","","35.736","","35.615","","35.13","1","34.941","1","36.208","1","36.194",""
"Andrew","Norman","","226","2010 Mini Cooper s","N","35.759","35.759","2","91","58","","45.841","DNF","48.427","DNF","48.516","","35.759","","40.805","","40.639","","39.132","","39.8","1"
"Jeremy","Braucks","","207","2013 Scion FR-S","DS","35.764","28.861","4","50","59","","37.564","","37.121","","36.665","","36.239","","36.124","","36.16","","36.499","","35.764",""
"Jody","Bedell","","92","2013 Scion FRs","Z-SSC","35.789","28.953","14","53","60","","38.17","DNF","37.022","DNF","35.967","1","37.7","1","36.772","","36.323","","36.684","1","35.789",""
"Kyle","Towberman","","333","2020 Mazda MX-5 RF GT-S","N","35.818","35.818","3","92","61","","36.864","","36.595","","36.541","","35.818","","36.294","","35.655","1","36.128","","35.832",""
"Kyler","Quimby","","659","2022 Toyota GR 86","DS","35.848","28.929","5","52","62","","40.625","","38.486","","39.012","","36.963","","35.879","1","36.239","","35.991","","35.848",""
"Brent","Lucio","","537","1996 Mazda Miata","Z-ES","35.849","28.392","12","44","63","","40.085","","37.956","","36.738","","37.249","","36.368","","36.781","","36.503","","35.849",""
